Thing,"Approximate $ amount",10^x,source
"World GDP, 2024, current US $","109,000,000,000,000",14,https://www.imf.org/external/datamapper/NGDPD@WEO/WEOWORLD
"US GDP, 2024, current US $","29,000,000,000,000",13,https://www.imf.org/external/datamapper/NGDPD@WEO/WEOWORLD/USA
Cost of Covid-19 to the US economy by end of 2023,"14,000,000,000,000",13,https://healthpolicy.usc.edu/article/covid-19s-total-cost-to-the-economy-in-us-will-reach-14-trillion-by-end-of-2023-new-research/
Nvidia market cap (as of April 1),"2,260,000,000,000",12,https://www.fool.com/research/largest-companies-by-market-cap/
Total US student loan debt as of Sept. 2023,"1,740,000,000,000",12,https://www.nerdwallet.com/article/loans/student-loans/student-loan-debt
Elon Musk Net Worth,"179,000,000,000",11,https://www.forbes.com/real-time-billionaires/#73540e823d78
Cost to build the ISS,"150,000,000,000",11,"https://en.wikipedia.org/wiki/Assembly_of_the_International_Space_Station#cite_note-36:~:text=built%2C%20costing%20around%20%24-,150%20billion%20(USD),-%2C%5B36%5D"
Political spending in the 2020 election,"14,400,000,000",10,https://www.opensecrets.org/news/2021/02/2020-cycle-cost-14p4-billion-doubling-16/
US almond industry revenue in 2019,"12,000,000,000",10,https://slatestarcodex.com/2019/09/18/too-much-dark-money-in-almonds/
Amount owed by FTX to customers,"8,700,000,000",9,"https://www.investopedia.com/ftx-debtors-have-recovered-usd7-billion-of-usd8-7-billion-owed-7553433#:~:text=exchange%20owes%20customers%20%24-,8.7%20billion,-worth%20of%20assets"
Biggest Powerball jackpot,"2,040,000,000",9,"https://www.forbes.com/sites/brianbushard/2024/03/20/powerball-and-mega-millions-jackpots-near-records-here-are-the-biggest-lottery-jackpots-of-all-time/?sh=3710d4613cfc#:~:text=LOTTERY%20JACKPOTS%3A-,%242.04%20billion,-."
Total GiveWell grants as of 2023,"2,000,000,000",9,https://www.givewell.org/default/citations#:~:text=As%20of%20December%202023%2C%20we%20have%20directed%20more%20than%20%242%20billion
Cost to train Gemini Ultra,"630,000,000",8,"https://epochai.org/trends#:~:text=Uncertain-,%24630%20million,-Total%20cost%20of"
Most expensive painting (Salvator Mundi by Leonardo da Vinci,"450,000,000",8,https://www.veranda.com/luxury-lifestyle/artwork/g43012775/most-expensive-paintings-in-the-world/
Most expensive violin (Messiah Stradivari),"20,000,000",7,https://www.myluthier.co/post/the-5-most-expensive-violins-in-the-world-updated-2024
Super Bowl ad slot in 2024,"7,000,000",6,https://www.cbsnews.com/news/how-much-super-bowl-commercial-cost-2024/
Cost of training GPT-3,"691,000",5,https://colab.research.google.com/drive/1Rbj64TFtR-igVP9YDuWb4F9ccwvkmZiD?usp=sharing
Median US home price June 2023,"426,000",5,"https://www.forbes.com/advisor/mortgages/real-estate/median-home-prices-by-state/#:~:text=The%20average%20home%20price%20in,was%20%24426%2C056%2C%20according%20to%20Redfin."
"US GDP per capita, current US $","85,000",4,https://www.imf.org/external/datamapper/NGDPDPC@WEO/USA?zoom=USA&highlight=USA
Cost of saving a life estimated by Givewell (2021),"4,500",3,https://www.givewell.org/how-we-work/our-criteria/cost-effectiveness#:~:text=Our%20top%20charities%2C%20which%20(based%20on%202021%20figures)%20we%20estimate%20could%20save%20a%20life%20for%20roughly%20every%20%243%2C500%20to%20%245%2C500%20in%20donations%2C
"Sub-Saharan Africa GDP per capita, current US $","1,600",3,https://www.imf.org/external/datamapper/NGDPDPC@WEO/SSA
